msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1613378567.114762,3c69d9c3-feb6-4572-b4c0-f810209c9bae,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.1353574,6e6b1df0-72d7-4d7a-8a01-5683a165baf0,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.152733,d9f23adc-807c-4bac-9f71-8365e5da7b64,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.1763537,b1551ac1-08e7-4902-a76a-ecf46748f53f,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.2010112,64c4e10b-2dec-44bb-9b51-f3c9526c8473,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.2289662,5af65837-1b3f-46a9-ad37-762cd001204b,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.2402825,b7245378-19fe-4e13-9538-3cccb2ea3e4d,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.250929,59e8467c-8d09-4c03-8d6d-88553cf91a59,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.274799,78f26e73-43c7-4900-9aef-6dd493bcf85e,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.2871556,cf24e1ab-bd77-4d62-91e5-c9fa14593829,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.31352,bd22b24e-b5d0-4e84-b533-b2633ddaa51e,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.3256052,75862a20-cc4c-46bb-928b-471eca38286d,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.3431516,252d001a-44a7-4b56-8546-1c9b5d8f4457,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.3668175,33352548-8579-439a-aac4-16fd047f2406,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.3803499,0ec15a3a-0702-4664-a02a-1f6a88c5a994,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.3968706,a5e360d4-402e-4bb9-b4d7-d39cf5338520,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.4211547,09543cf8-4f03-4f3a-95a4-31f67db8a88f,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.4488666,2c58264a-fa4b-4553-8935-58126dc5683e,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.4727392,7e24ed9b-86e2-47dc-81f2-755154f86888,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.4884164,bbb5fa33-e327-4498-98a5-3f3bbd1024ae,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.5306284,c4a5ea68-c831-4fe7-b532-b6ce2804ae09,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.5492132,04e6e5a0-6aad-46fd-b199-23323dd6cffb,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.5513856,083a69d8-1cfd-4753-81f2-6fda0298f879,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.5786428,aacdd0b7-932e-41e9-b510-ede4b8c6740a,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.580758,3b0c288c-9239-4a67-b815-04ea5edbff41,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.6066003,c20137be-7061-4c34-be48-1d07e1ecf04c,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.6247463,ceda9d6c-c440-4de7-a0dc-7ccf8b8addd5,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.6382654,bb12e5c6-c1bb-4ca4-bdcd-bade89269d8d,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.6576173,b85265be-58ba-46d4-a3fa-7ead472c0271,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.6878583,9fd7d14d-ecac-4518-a8db-1f9eb860e879,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7011473,87df930e-6700-445b-a5b2-9741615759b1,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7198331,4ecb5434-7c7a-4c1e-90fc-e8f867b9abaf,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7260911,49b9733e-cf68-4f4c-adca-37fee1c99d53,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7548409,78768b9b-0158-42cf-9a8d-4479dfe95f49,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.758425,6387d59e-ee95-4a93-8984-04c1440f64e2,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7799273,be17145c-0378-4af8-bf59-1b379bd61cb1,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.7982907,8eba3750-cec5-4a9f-85a4-c20ad47614b4,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.8269665,5d0288bb-c24e-4ed3-80cf-f84811da46d5,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.830899,62152a1f-64dc-4e7d-b668-337620c32309,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.859566,9f93ad28-984a-4f14-9e47-dbd73987bb31,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.87671,69a9781b-5536-4b5e-b1ec-05fcf4eff869,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.8812292,211cf7b5-b42a-42fb-9f0c-40c2163df095,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.90549,d4940da5-b47a-4b93-83f2-3f3e3dc70c43,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
1613378567.9363415,de99710b-58d9-4008-856a-c0dfb2b21b7c,pubProgress,c6a13afe-6f69-11eb-8001-246e96912b50,STREAM,0,6176,0,1
