msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1613072670.9621844,9101b063-357d-447e-89ca-79385dc2ae34,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072670.9969144,aeee53e0-cd43-4d43-aa85-2240fdf9414c,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.0475886,7cab170e-b8b5-4622-a52b-2b56bf7390d0,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.0684042,63ad9b0e-8129-401b-90dd-f5a70c8ec6fc,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.0808861,4bd222f8-1935-40cb-a491-d7b1bdc772ed,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.0938447,a51923a0-d19c-4b45-a620-232795890ec9,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.1164324,5b7ad114-d988-495b-a2fd-439af728b9ae,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.1321208,6ac5d762-933b-4fa8-b885-d40b28ce08f8,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.1457076,2e48ef01-c340-4c97-9fec-7a254c5bde01,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.159777,22167ac4-8578-4c96-b213-916744da1225,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.172964,e961d77b-4bbc-4c8b-992d-c93bd4ced8e3,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.1876283,847f5255-c43c-4c66-9606-0aa9c59786ba,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.2009244,a5330432-489d-4b38-8a90-d8607e6f3246,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.2139769,4f122502-efd2-46b4-9d20-9993309ad663,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.2284744,258c96f5-096f-4fa4-9eef-ca97d1eb3f46,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.247668,a9d103d7-4801-40b6-8890-a089fa5bc68a,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.262073,a81cdd10-5630-452f-ae3e-011496fdfe89,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.2758157,054d7441-7625-467d-bdfd-6dd08868fac6,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.289023,23610650-93f3-4a1d-bc28-c4a52660f841,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.3037763,08584294-0e26-4898-9e0a-21f02733583e,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.317629,1f399553-934d-4516-a0c9-6eb5a8796ab0,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.3400514,9cdf2b06-d741-4022-b97f-771e11559368,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.3540466,dd32f099-5eb7-4925-ad69-211c634c3a2e,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.3673334,3a1e64ec-a9cf-4fe4-b4b6-44fef261a8e6,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.3878658,317af603-93a8-47c4-a38f-3085f08458f8,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4043863,b019ce5d-fc0f-47f3-bfdc-e8af73beb74e,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.415364,fa9a69d0-3e3c-4b79-88fb-22310fca75e1,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4291236,9cd0ed21-2528-4222-8192-3674461d7734,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4424055,e6c40ee6-e958-47fa-b5ac-af7077113735,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4570284,fafa6f5a-6b2b-4a49-b30b-444d0266cad0,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4700172,04477b91-63a5-4229-9572-fd2a61d704df,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4835901,e3815e21-19e4-45ae-83d8-9af9826f5da6,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
1613072671.4967005,cd02182f-e955-4fa5-9cb7-a6f9fd88da1f,pubProgress,8e013174-6ca1-11eb-8001-246e96914c90,STREAM,0,77213,0,1
