msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1613128447.4284813,5e4e2189-807a-4fe6-8519-70b29a144a26,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.475973,94769951-191d-4416-ab68-430aeb721cda,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.5234919,ff3bdf80-c4ec-49df-8e80-f44515370d9c,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.570959,2c58eb99-08ac-4e57-8fb6-ee6cf0f2dba7,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.6183674,2885172c-e3cd-431d-ba55-88790bf5ae0f,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.6658535,85cdcc9b-2e41-4308-a9ab-b2d15226b970,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.7132487,50bc56b7-3742-4b0b-be43-1a928e5d8841,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.7614045,2d24e69d-283d-4725-9a75-cf1feb07089b,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.8208206,826367f8-12a5-431c-8ccb-1f76153d4aee,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.867264,dd12b30b-d4d9-4115-8792-ccf4dcc04930,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.9103084,d006e7e9-5ff2-4c16-a498-34e2bb998660,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.9562857,3b488d30-9a27-4470-bb91-0b487644c9d4,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128447.9992537,ee8c3e85-8e2a-4337-b48f-f0c773f993e6,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.0420644,935bea2c-9f19-4f07-929c-fc4b2bd3b4e0,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.0842984,27c77ef9-e79f-46e5-af51-61d15d00ecc8,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.126958,23ac4dfd-0308-448a-8a7c-72c3985bf0f9,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.16887,40b84a9d-3201-4ba2-aefc-8b51c16a308d,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.2094727,e8ad6ddb-f2af-4141-8263-fe82dc58d8ea,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.2536306,007284e3-89c8-4547-b4c6-973d8b8283ff,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.2956448,00a1f30d-d9ae-4ede-a34c-cf493106a0f2,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.3378172,aa21048f-0952-473e-b0eb-7546fb2351a9,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.380659,25f53a75-e468-4eba-80fe-22f14cb53af5,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.4209964,c5521bfc-bd60-4cbf-aac1-4d42fda7d055,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.4653552,defa020e-7a66-40cf-9cac-d8026f52cd45,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.5068817,050b0719-0330-4252-a428-b29649262dca,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.5483043,6fa79d00-044a-480c-aa80-10d86499c260,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.5908997,9dd7c505-5958-4c92-b67e-b91b91607e24,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.632257,97bd1137-90e2-4890-b8cc-c508f51fd79a,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.6737165,54293b83-e7a4-4f39-aad1-d1da5062625f,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.7155144,19cde3a9-efda-4c86-b245-1c8f802d54eb,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.7569606,f5619380-e1aa-4a14-bd3d-49b8e10ac95f,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.7987697,2f0003e7-95e8-4b6c-a600-11af762c709c,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.8400989,0ba59abb-d761-44de-9746-2339fc9acac4,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.8815172,94944b7a-7d17-409a-8642-3144865abb1f,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.9230387,be7369b8-f065-45c0-9c0d-2a84920d459f,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128448.964258,082803c6-7aa3-4d55-87a7-7784e643b1be,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.0076566,53af7102-d16e-42e3-8269-22e4bbca21df,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.049221,ee23457f-4083-4006-bcfc-30bf7be70098,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.0904174,5ca17eff-deb8-497a-a0b0-e856aeed91b3,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.1326954,5d635a6a-f72e-489b-a8d5-6a58b72fce04,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.1741014,0b703dee-3be0-4d73-85dd-4d6151ae5f9d,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.2158678,5acbf4ab-c272-4263-a712-95429a0b702c,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.2571285,09d1a43a-afb3-4e85-81cf-ca6e212f63f4,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.3017554,1fbda1ae-ab69-4fcf-8c8d-8794299009bf,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.341515,ebe63581-450c-4d7f-9a61-980ffe609ff1,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.3842618,7e1ad8d2-49f9-4e56-9582-67e64548bdba,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
1613128449.4259024,51744064-d149-457d-ad25-1775e3fab25d,pubProgress,6b9f54f2-6d23-11eb-8001-98039bb0bff6,STREAM,0,14080,0,1
