msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1613128399.1296382,c23bf81b-ed6f-4b6e-8e84-3505cf87ce19,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.1446736,38b58f2b-6cfa-4ca6-b021-189c53f6a168,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.159507,da688b0f-e060-45b8-8bbc-1ef4c9766050,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.1752365,509fe512-3a8c-45a0-b88d-0fe84d52d462,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.1908593,00d57ce6-8ca0-415f-b0b9-f722a4dc2227,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.206069,ca3b1ff0-2833-41ad-a075-14b2bf3d9286,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.221001,11ac2cc5-4f76-434b-bf9a-4397863ae8ef,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.2422214,8e536839-e7fa-4bc9-9762-77bd207e97a3,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.2634065,2e69742b-8409-4672-a073-741102e2364f,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.279055,93d1b8ce-67cf-4a35-85df-0aa512dd02b9,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.2945642,aec945db-8c8a-4db7-a9b5-744def7bce4a,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.3096662,598240fc-b727-42b4-afab-d261bd9b19e2,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
1613128399.3245814,c4524857-ca4a-4389-a2b7-bc9aa3b4c36c,pubProgress,4ee4597a-6d23-11eb-8001-246e96914c90,STREAM,0,113336,0,1
